gamma_        0.97,gamma_        0.95,gamma_         0.9,gamma_        0.87,gamma_        0.85,gamma_         0.8,gamma_        0.75,gamma_         0.7,
   33.333446,   20.000000,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.333755,   20.000001,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.335066,   20.000002,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.338342,   20.000004,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.344977,   20.000016,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.366120,   20.000105,   10.000000,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.427715,   20.000302,   10.000001,    7.692308,    6.666667,    5.000000,    4.000000,    3.333333,
   33.489006,   20.001187,   10.000007,    7.692309,    6.666667,    5.000000,    4.000000,    3.333333,
   33.722931,   20.007320,   10.000043,    7.692317,    6.666669,    5.000000,    4.000000,    3.333333,
   34.571332,   20.027160,   10.000255,    7.692381,    6.666686,    5.000000,    4.000000,    3.333333,
   37.577992,   20.119128,   10.000645,    7.692869,    6.666730,    5.000000,    4.000000,    3.333333,
   44.249819,   20.350587,   10.006410,    7.695264,    6.667071,    5.000000,    4.000000,    3.333333,
   66.448000,   21.054013,   10.038039,    7.700079,    6.675637,    5.000001,    4.000000,    3.333333,
  139.702454,   23.902920,   10.239656,    7.755466,    6.758303,    5.000011,    4.000000,    3.333333,
 1737.674441,   37.743781,   11.832672,    8.313242,    6.988425,    5.000262,    4.000001,    3.333333,
 5236.474928,   95.297074,   21.622353,   12.465365,    9.181703,    5.004417,    4.000011,    3.333333,
            , 4292.404987, 1083.341159, 2929.604058, 2756.673755,    5.072030,    4.000074,    3.333333,
            ,            , 3264.546011,            ,            ,    7.705853,    4.001986,    3.333333,
            ,            ,            ,            ,            , 2427.517372,    4.051357,    3.333333,
            ,            ,            ,            ,            ,            ,  436.017339,    3.333333,
            ,            ,            ,            ,            ,            , 2187.945318,    3.333334,
            ,            ,            ,            ,            ,            ,            ,    3.333356,
            ,            ,            ,            ,            ,            ,            ,    3.334793,
            ,            ,            ,            ,            ,            ,            ,    3.684815,
            ,            ,            ,            ,            ,            ,            ,  343.185569,
            ,            ,            ,            ,            ,            ,            , 2001.961495,
            ,            ,            ,            ,            ,            ,            ,            ,
