------- 2018-10-25 16:52:17.401690 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     968.191,           0,           0,    18.60000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1016.776,           0,          93,    18.60000,     0.97933,     0.89667,     1.05018
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     962.062,           0,           0,    48.48000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1034.268,           0,         168,    48.48000,     0.94613,     0.81333,     1.07505
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1096.641,           0,           0,    87.38400,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1069.830,           0,         243,    87.38400,     0.90291,     0.73000,     0.97555
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1035.545,           0,           0,   131.10720,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1116.214,           0,         306,   131.10720,     0.85433,     0.66000,     1.07790
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1071.129,           0,           0,   177.68576,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1197.189,           0,         364,   177.68576,     0.80257,     0.59556,     1.11769
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1068.634,           0,           0,   229.72800,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1278.138,           0,         409,   229.72800,     0.74475,     0.54556,     1.19605
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1187.689,           0,           0,   281.42320,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1431.202,           0,         437,   281.42320,     0.68731,     0.51444,     1.20503
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1064.168,           0,           0,   330.48936,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1139.736,           0,         467,   330.48936,     0.63279,     0.48111,     1.07101
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1151.056,           0,           0,   374.25156,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    1682.396,           0,         489,   374.25156,     0.58416,     0.45667,     1.46161
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1286.098,           0,           0,   415.02060,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SINGLE CELL ,       0.000,           1,           0,0           ,    2657.179,           0,         515,   415.02060,     0.53887,     0.42778,     2.06608
------- 2018-10-25 16:57:06.431838 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     993.314,           0,           0,     4.00000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1001.659,           0,          20,     4.00000,     0.99556,     0.97778,     1.00840
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1031.689,           0,           0,    13.00000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1019.627,           0,          49,    13.00000,     0.98556,     0.94556,     0.98831
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     986.919,           0,           0,    31.20000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1150.166,           0,         103,    31.20000,     0.96533,     0.88444,     1.16541
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1098.583,           0,           0,    61.56000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1163.504,           0,         182,    61.56000,     0.93160,     0.79667,     1.05909
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1073.212,           0,           0,   104.44800,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1067.677,           0,         275,   104.44800,     0.88395,     0.69333,     0.99484
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1074.096,           0,           0,   158.20128,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1224.753,           0,         366,   158.20128,     0.82422,     0.59222,     1.14026
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     994.841,           0,           0,   217.96320,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    6897.105,           0,         441,   217.96320,     0.75782,     0.50889,     6.93287
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1055.248,           0,           0,   278.52848,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    8483.639,           0,         491,   278.52848,     0.69052,     0.45333,     8.03948
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1051.640,           0,           0,   336.20216,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,   23990.990,           0,         519,   336.20216,     0.62644,     0.42222,    22.81294
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1173.407,           0,           0,   389.56612,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,1           ,    7312.392,           0,         537,   389.56612,     0.56715,     0.40222,     6.23176
------- 2018-10-25 17:03:07.064019 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
------- 2018-10-25 17:06:24.533234 -------
fph_mode    ,damage_mode ,l_length    ,l_num_sqrs  ,l_time      ,f_aborted   ,f_sr_lnth   ,f_num_trps  ,f_num_dmgd  ,f_totdm_dgr ,f_dmdgr_rio ,f_dmcnt_rio ,f_dmpth_rio 
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     995.318,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     989.732,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     987.746,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,     969.021,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1060.610,           0,           0,     3.80000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     980.053,           0,          19,     3.80000,     0.99578,     0.97889,     0.97958
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     965.041,           0,          19,     3.80000,     0.99578,     0.97889,     0.96457
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,     970.098,           0,          19,     3.80000,     0.99578,     0.97889,     0.96963
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1009.278,           0,          19,     3.80000,     0.99578,     0.97889,     1.00879
OMNICIENT   ,SPREAD      ,       0.000,           1,           0,0           ,    1033.509,           0,          19,     3.80000,     0.99578,     0.97889,     1.03301
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1041.014,           0,           0,    13.44000,     0.00000,     0.00000,     0.00000
OMNICIENT   ,NO DAMAGING ,       0.000,           1,           0,0           ,    1034.300,           0,           0,    13.44000,     0.00000,     0.00000,     0.00000
